Date,Close/Last,Volume,Open,High,Low
09/18/2019,$130.41,4450707,$129.9,$130.56,$128.78
09/17/2019,$129.67,5002870,$129.6,$130.5,$129.11
09/16/2019,$129.54,5101689,$130.11,$130.75,$129.33
09/13/2019,$130.78,5369774,$131.33,$131.57,$129.96
09/12/2019,$130.43,5250032,$131.36,$131.77,$130.06
09/11/2019,$131.17,6203628,$129.86,$131.28,$129.08
09/10/2019,$129.55,8239733,$127.34,$129.55,$126.34
09/09/2019,$126.95,7684665,$128,$128.16,$126.59
09/06/2019,$128.21,6758329,$128.88,$129.23,$128.07
09/05/2019,$128.58,4754074,$129.9,$129.9,$128.31
09/04/2019,$128.86,4821460,$129.49,$129.59,$128.08
09/03/2019,$128.74,5710249,$127.99,$128.98,$127.51
08/30/2019,$128.36,7371134,$128.27,$129.1,$127.62
